study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB14142	SAMEA4003655	ERS1174765	ERX1492305	ERR1421656	3880	Medicago truncatula	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/006/ERR1421656/ERR1421656.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/006/ERR1421656/ERR1421656.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421656/121108_I7001139_FCD1FBHACXX_L4_GSL_0040.12_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421656/121108_I7001139_FCD1FBHACXX_L4_GSL_0040.12_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/006/ERR1421656	ftp.sra.ebi.ac.uk/vol1/err/ERR142/006/ERR1421656		
PRJEB14142	SAMEA4003656	ERS1174766	ERX1492306	ERR1421667	3880	Medicago truncatula	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/007/ERR1421667/ERR1421667.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/007/ERR1421667/ERR1421667.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421667/121108_I7001139_FCD1FBHACXX_L4_GSL_0040.13_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421667/121108_I7001139_FCD1FBHACXX_L4_GSL_0040.13_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/007/ERR1421667	ftp.sra.ebi.ac.uk/vol1/err/ERR142/007/ERR1421667		
PRJEB14142	SAMEA4003657	ERS1174767	ERX1492307	ERR1421673	3880	Medicago truncatula	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/003/ERR1421673/ERR1421673.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/003/ERR1421673/ERR1421673.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421673/121108_I7001139_FCD1FBHACXX_L4_GSL_0040.14_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421673/121108_I7001139_FCD1FBHACXX_L4_GSL_0040.14_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/003/ERR1421673	ftp.sra.ebi.ac.uk/vol1/err/ERR142/003/ERR1421673		
PRJEB14142	SAMEA4003658	ERS1174768	ERX1492308	ERR1421674	3880	Medicago truncatula	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/004/ERR1421674/ERR1421674.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/004/ERR1421674/ERR1421674.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421674/121108_I7001139_FCD1FBHACXX_L4_GSL_0040.15_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421674/121108_I7001139_FCD1FBHACXX_L4_GSL_0040.15_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/004/ERR1421674	ftp.sra.ebi.ac.uk/vol1/err/ERR142/004/ERR1421674		
PRJEB14142	SAMEA4003659	ERS1174769	ERX1492309	ERR1421675	3880	Medicago truncatula	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/005/ERR1421675/ERR1421675.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/005/ERR1421675/ERR1421675.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421675/121108_I7001139_FCD1FBHACXX_L4_GSL_0040.16_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421675/121108_I7001139_FCD1FBHACXX_L4_GSL_0040.16_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/005/ERR1421675	ftp.sra.ebi.ac.uk/vol1/err/ERR142/005/ERR1421675		
PRJEB14142	SAMEA4003660	ERS1174770	ERX1492310	ERR1421676	3880	Medicago truncatula	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/006/ERR1421676/ERR1421676.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/006/ERR1421676/ERR1421676.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421676/121108_I7001139_FCD1FBHACXX_L4_GSL_0040.17_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421676/121108_I7001139_FCD1FBHACXX_L4_GSL_0040.17_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/006/ERR1421676	ftp.sra.ebi.ac.uk/vol1/err/ERR142/006/ERR1421676		
PRJEB14142	SAMEA4003661	ERS1174771	ERX1492311	ERR1421677	3880	Medicago truncatula	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/007/ERR1421677/ERR1421677.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/007/ERR1421677/ERR1421677.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421677/121108_I7001139_FCD1FBHACXX_L4_GSL_0040.18_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421677/121108_I7001139_FCD1FBHACXX_L4_GSL_0040.18_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/007/ERR1421677	ftp.sra.ebi.ac.uk/vol1/err/ERR142/007/ERR1421677		
PRJEB14142	SAMEA4003662	ERS1174772	ERX1492312	ERR1421678	3880	Medicago truncatula	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/008/ERR1421678/ERR1421678.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/008/ERR1421678/ERR1421678.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421678/121108_I7001139_FCD1FBHACXX_L4_GSL_0040.19_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421678/121108_I7001139_FCD1FBHACXX_L4_GSL_0040.19_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/008/ERR1421678	ftp.sra.ebi.ac.uk/vol1/err/ERR142/008/ERR1421678		
PRJEB14142	SAMEA4003663	ERS1174773	ERX1492313	ERR1421680	3880	Medicago truncatula	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/000/ERR1421680/ERR1421680.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/000/ERR1421680/ERR1421680.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421680/121108_I7001139_FCD1FBHACXX_L4_GSL_0040.20_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421680/121108_I7001139_FCD1FBHACXX_L4_GSL_0040.20_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/000/ERR1421680	ftp.sra.ebi.ac.uk/vol1/err/ERR142/000/ERR1421680		
PRJEB14142	SAMEA4003665	ERS1174775	ERX1492315	ERR1421694	3880	Medicago truncatula	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/004/ERR1421694/ERR1421694.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/004/ERR1421694/ERR1421694.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421694/121108_I7001139_FCD1FBHACXX_L5_GSL_0040.11_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421694/121108_I7001139_FCD1FBHACXX_L5_GSL_0040.11_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/004/ERR1421694	ftp.sra.ebi.ac.uk/vol1/err/ERR142/004/ERR1421694		
PRJEB14142	SAMEA4003655	ERS1174765	ERX1492305	ERR1421695	3880	Medicago truncatula	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/005/ERR1421695/ERR1421695.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/005/ERR1421695/ERR1421695.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421695/121108_I7001139_FCD1FBHACXX_L5_GSL_0040.12_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421695/121108_I7001139_FCD1FBHACXX_L5_GSL_0040.12_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/005/ERR1421695	ftp.sra.ebi.ac.uk/vol1/err/ERR142/005/ERR1421695		
PRJEB14142	SAMEA4003656	ERS1174766	ERX1492306	ERR1421696	3880	Medicago truncatula	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/006/ERR1421696/ERR1421696.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/006/ERR1421696/ERR1421696.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421696/121108_I7001139_FCD1FBHACXX_L5_GSL_0040.13_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421696/121108_I7001139_FCD1FBHACXX_L5_GSL_0040.13_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/006/ERR1421696	ftp.sra.ebi.ac.uk/vol1/err/ERR142/006/ERR1421696		
PRJEB14142	SAMEA4003657	ERS1174767	ERX1492307	ERR1421697	3880	Medicago truncatula	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/007/ERR1421697/ERR1421697.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/007/ERR1421697/ERR1421697.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421697/121108_I7001139_FCD1FBHACXX_L5_GSL_0040.14_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421697/121108_I7001139_FCD1FBHACXX_L5_GSL_0040.14_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/007/ERR1421697	ftp.sra.ebi.ac.uk/vol1/err/ERR142/007/ERR1421697		
PRJEB14142	SAMEA4003658	ERS1174768	ERX1492308	ERR1421698	3880	Medicago truncatula	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/008/ERR1421698/ERR1421698.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/008/ERR1421698/ERR1421698.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421698/121108_I7001139_FCD1FBHACXX_L5_GSL_0040.15_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421698/121108_I7001139_FCD1FBHACXX_L5_GSL_0040.15_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/008/ERR1421698	ftp.sra.ebi.ac.uk/vol1/err/ERR142/008/ERR1421698		
PRJEB14142	SAMEA4003659	ERS1174769	ERX1492309	ERR1421699	3880	Medicago truncatula	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/009/ERR1421699/ERR1421699.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/009/ERR1421699/ERR1421699.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421699/121108_I7001139_FCD1FBHACXX_L5_GSL_0040.16_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421699/121108_I7001139_FCD1FBHACXX_L5_GSL_0040.16_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/009/ERR1421699	ftp.sra.ebi.ac.uk/vol1/err/ERR142/009/ERR1421699		
PRJEB14142	SAMEA4003660	ERS1174770	ERX1492310	ERR1421700	3880	Medicago truncatula	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/000/ERR1421700/ERR1421700.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/000/ERR1421700/ERR1421700.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421700/121108_I7001139_FCD1FBHACXX_L5_GSL_0040.17_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421700/121108_I7001139_FCD1FBHACXX_L5_GSL_0040.17_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/000/ERR1421700	ftp.sra.ebi.ac.uk/vol1/err/ERR142/000/ERR1421700		
PRJEB14142	SAMEA4003661	ERS1174771	ERX1492311	ERR1421702	3880	Medicago truncatula	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/002/ERR1421702/ERR1421702.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/002/ERR1421702/ERR1421702.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421702/121108_I7001139_FCD1FBHACXX_L5_GSL_0040.18_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421702/121108_I7001139_FCD1FBHACXX_L5_GSL_0040.18_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/002/ERR1421702	ftp.sra.ebi.ac.uk/vol1/err/ERR142/002/ERR1421702		
PRJEB14142	SAMEA4003662	ERS1174772	ERX1492312	ERR1421703	3880	Medicago truncatula	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/003/ERR1421703/ERR1421703.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/003/ERR1421703/ERR1421703.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421703/121108_I7001139_FCD1FBHACXX_L5_GSL_0040.19_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421703/121108_I7001139_FCD1FBHACXX_L5_GSL_0040.19_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/003/ERR1421703	ftp.sra.ebi.ac.uk/vol1/err/ERR142/003/ERR1421703		
PRJEB14142	SAMEA4003663	ERS1174773	ERX1492313	ERR1421704	3880	Medicago truncatula	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/004/ERR1421704/ERR1421704.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/004/ERR1421704/ERR1421704.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421704/121108_I7001139_FCD1FBHACXX_L5_GSL_0040.20_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421704/121108_I7001139_FCD1FBHACXX_L5_GSL_0040.20_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/004/ERR1421704	ftp.sra.ebi.ac.uk/vol1/err/ERR142/004/ERR1421704		
PRJEB14142	SAMEA4003665	ERS1174775	ERX1492315	ERR1421718	3880	Medicago truncatula	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/008/ERR1421718/ERR1421718.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/008/ERR1421718/ERR1421718.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421718/121108_I7001139_FCD1FBHACXX_L6_GSL_0040.11_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421718/121108_I7001139_FCD1FBHACXX_L6_GSL_0040.11_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/008/ERR1421718	ftp.sra.ebi.ac.uk/vol1/err/ERR142/008/ERR1421718		
PRJEB14142	SAMEA4003655	ERS1174765	ERX1492305	ERR1421719	3880	Medicago truncatula	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/009/ERR1421719/ERR1421719.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/009/ERR1421719/ERR1421719.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421719/121108_I7001139_FCD1FBHACXX_L6_GSL_0040.12_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421719/121108_I7001139_FCD1FBHACXX_L6_GSL_0040.12_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/009/ERR1421719	ftp.sra.ebi.ac.uk/vol1/err/ERR142/009/ERR1421719		
PRJEB14142	SAMEA4003656	ERS1174766	ERX1492306	ERR1421720	3880	Medicago truncatula	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/000/ERR1421720/ERR1421720.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/000/ERR1421720/ERR1421720.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421720/121108_I7001139_FCD1FBHACXX_L6_GSL_0040.13_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421720/121108_I7001139_FCD1FBHACXX_L6_GSL_0040.13_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/000/ERR1421720	ftp.sra.ebi.ac.uk/vol1/err/ERR142/000/ERR1421720		
PRJEB14142	SAMEA4003657	ERS1174767	ERX1492307	ERR1421721	3880	Medicago truncatula	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/001/ERR1421721/ERR1421721.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/001/ERR1421721/ERR1421721.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421721/121108_I7001139_FCD1FBHACXX_L6_GSL_0040.14_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421721/121108_I7001139_FCD1FBHACXX_L6_GSL_0040.14_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/001/ERR1421721	ftp.sra.ebi.ac.uk/vol1/err/ERR142/001/ERR1421721		
PRJEB14142	SAMEA4003658	ERS1174768	ERX1492308	ERR1421722	3880	Medicago truncatula	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/002/ERR1421722/ERR1421722.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/002/ERR1421722/ERR1421722.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421722/121108_I7001139_FCD1FBHACXX_L6_GSL_0040.15_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421722/121108_I7001139_FCD1FBHACXX_L6_GSL_0040.15_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/002/ERR1421722	ftp.sra.ebi.ac.uk/vol1/err/ERR142/002/ERR1421722		
