secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	scientific_name	instrument_platform	library_layout	library_strategy	library_selection	experiment_title	study_alias	experiment_alias	run_alias	submitted_bytes	submitted_galaxy	sra_ftp	cram_index_ftp	cram_index_aspera	broker_name	sample_title
ERP015760	SAMEA4003655	ERS1174765	ERX1492305	ERR1421656	ERA625422	Medicago truncatula	ILLUMINA	PAIRED	RNA-Seq	RANDOM	Illumina Genome Analyzer IIx paired end sequencing; Longitudinal and Diurnal Experiments of M. hapla and M. truncatula	E-MTAB-4724	E-MTAB-4724:Sample12_shoot_2_day_noinfection	E-MTAB-4724:Sample 12	493400884	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421656/121108_I7001139_FCD1FBHACXX_L4_GSL_0040.12_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/006/ERR1421656			ArrayExpress	Sample12_shoot_2_day_noinfection
ERP015760	SAMEA4003656	ERS1174766	ERX1492306	ERR1421667	ERA625422	Medicago truncatula	ILLUMINA	PAIRED	RNA-Seq	RANDOM	Illumina Genome Analyzer IIx paired end sequencing; Longitudinal and Diurnal Experiments of M. hapla and M. truncatula	E-MTAB-4724	E-MTAB-4724:Sample13_shoot_4_day_noinfection	E-MTAB-4724:Sample 13	467653679	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421667/121108_I7001139_FCD1FBHACXX_L4_GSL_0040.13_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/007/ERR1421667			ArrayExpress	Sample13_shoot_4_day_noinfection
ERP015760	SAMEA4003657	ERS1174767	ERX1492307	ERR1421673	ERA625422	Medicago truncatula	ILLUMINA	PAIRED	RNA-Seq	RANDOM	Illumina Genome Analyzer IIx paired end sequencing; Longitudinal and Diurnal Experiments of M. hapla and M. truncatula	E-MTAB-4724	E-MTAB-4724:Sample14_shoot_5_day_noinfection	E-MTAB-4724:Sample 14	470501709	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421673/121108_I7001139_FCD1FBHACXX_L4_GSL_0040.14_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/003/ERR1421673			ArrayExpress	Sample14_shoot_5_day_noinfection
ERP015760	SAMEA4003658	ERS1174768	ERX1492308	ERR1421674	ERA625422	Medicago truncatula	ILLUMINA	PAIRED	RNA-Seq	RANDOM	Illumina Genome Analyzer IIx paired end sequencing; Longitudinal and Diurnal Experiments of M. hapla and M. truncatula	E-MTAB-4724	E-MTAB-4724:Sample15_shoot_7_day_noinfection	E-MTAB-4724:Sample 15	184206434	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421674/121108_I7001139_FCD1FBHACXX_L4_GSL_0040.15_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/004/ERR1421674			ArrayExpress	Sample15_shoot_7_day_noinfection
ERP015760	SAMEA4003659	ERS1174769	ERX1492309	ERR1421675	ERA625422	Medicago truncatula	ILLUMINA	PAIRED	RNA-Seq	RANDOM	Illumina Genome Analyzer IIx paired end sequencing; Longitudinal and Diurnal Experiments of M. hapla and M. truncatula	E-MTAB-4724	E-MTAB-4724:Sample16_root_1_day_noinfection	E-MTAB-4724:Sample 16	556728534	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421675/121108_I7001139_FCD1FBHACXX_L4_GSL_0040.16_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/005/ERR1421675			ArrayExpress	Sample16_root_1_day_noinfection
ERP015760	SAMEA4003660	ERS1174770	ERX1492310	ERR1421676	ERA625422	Medicago truncatula	ILLUMINA	PAIRED	RNA-Seq	RANDOM	Illumina Genome Analyzer IIx paired end sequencing; Longitudinal and Diurnal Experiments of M. hapla and M. truncatula	E-MTAB-4724	E-MTAB-4724:Sample17_root_2_day_noinfection	E-MTAB-4724:Sample 17	470788171	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421676/121108_I7001139_FCD1FBHACXX_L4_GSL_0040.17_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/006/ERR1421676			ArrayExpress	Sample17_root_2_day_noinfection
ERP015760	SAMEA4003661	ERS1174771	ERX1492311	ERR1421677	ERA625422	Medicago truncatula	ILLUMINA	PAIRED	RNA-Seq	RANDOM	Illumina Genome Analyzer IIx paired end sequencing; Longitudinal and Diurnal Experiments of M. hapla and M. truncatula	E-MTAB-4724	E-MTAB-4724:Sample18_root_4_day_noinfection	E-MTAB-4724:Sample 18	457670693	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421677/121108_I7001139_FCD1FBHACXX_L4_GSL_0040.18_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/007/ERR1421677			ArrayExpress	Sample18_root_4_day_noinfection
ERP015760	SAMEA4003662	ERS1174772	ERX1492312	ERR1421678	ERA625422	Medicago truncatula	ILLUMINA	PAIRED	RNA-Seq	RANDOM	Illumina Genome Analyzer IIx paired end sequencing; Longitudinal and Diurnal Experiments of M. hapla and M. truncatula	E-MTAB-4724	E-MTAB-4724:Sample19_root_5_day_noinfection	E-MTAB-4724:Sample 19	747753701	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421678/121108_I7001139_FCD1FBHACXX_L4_GSL_0040.19_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/008/ERR1421678			ArrayExpress	Sample19_root_5_day_noinfection
ERP015760	SAMEA4003663	ERS1174773	ERX1492313	ERR1421680	ERA625422	Medicago truncatula	ILLUMINA	PAIRED	RNA-Seq	RANDOM	Illumina Genome Analyzer IIx paired end sequencing; Longitudinal and Diurnal Experiments of M. hapla and M. truncatula	E-MTAB-4724	E-MTAB-4724:Sample20_root_7_day_noinfection	E-MTAB-4724:Sample 20	483774537	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421680/121108_I7001139_FCD1FBHACXX_L4_GSL_0040.20_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/000/ERR1421680			ArrayExpress	Sample20_root_7_day_noinfection
ERP015760	SAMEA4003665	ERS1174775	ERX1492315	ERR1421694	ERA625422	Medicago truncatula	ILLUMINA	PAIRED	RNA-Seq	RANDOM	Illumina Genome Analyzer IIx paired end sequencing; Longitudinal and Diurnal Experiments of M. hapla and M. truncatula	E-MTAB-4724	E-MTAB-4724:Sample11_shoot_1_day_noinfection	E-MTAB-4724:Sample 33	493282065	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421694/121108_I7001139_FCD1FBHACXX_L5_GSL_0040.11_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/004/ERR1421694			ArrayExpress	Sample11_shoot_1_day_noinfection
ERP015760	SAMEA4003655	ERS1174765	ERX1492305	ERR1421695	ERA625422	Medicago truncatula	ILLUMINA	PAIRED	RNA-Seq	RANDOM	Illumina Genome Analyzer IIx paired end sequencing; Longitudinal and Diurnal Experiments of M. hapla and M. truncatula	E-MTAB-4724	E-MTAB-4724:Sample12_shoot_2_day_noinfection	E-MTAB-4724:Sample 34	511916254	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421695/121108_I7001139_FCD1FBHACXX_L5_GSL_0040.12_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/005/ERR1421695			ArrayExpress	Sample12_shoot_2_day_noinfection
ERP015760	SAMEA4003656	ERS1174766	ERX1492306	ERR1421696	ERA625422	Medicago truncatula	ILLUMINA	PAIRED	RNA-Seq	RANDOM	Illumina Genome Analyzer IIx paired end sequencing; Longitudinal and Diurnal Experiments of M. hapla and M. truncatula	E-MTAB-4724	E-MTAB-4724:Sample13_shoot_4_day_noinfection	E-MTAB-4724:Sample 35	487884112	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421696/121108_I7001139_FCD1FBHACXX_L5_GSL_0040.13_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/006/ERR1421696			ArrayExpress	Sample13_shoot_4_day_noinfection
ERP015760	SAMEA4003657	ERS1174767	ERX1492307	ERR1421697	ERA625422	Medicago truncatula	ILLUMINA	PAIRED	RNA-Seq	RANDOM	Illumina Genome Analyzer IIx paired end sequencing; Longitudinal and Diurnal Experiments of M. hapla and M. truncatula	E-MTAB-4724	E-MTAB-4724:Sample14_shoot_5_day_noinfection	E-MTAB-4724:Sample 36	491351416	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421697/121108_I7001139_FCD1FBHACXX_L5_GSL_0040.14_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/007/ERR1421697			ArrayExpress	Sample14_shoot_5_day_noinfection
ERP015760	SAMEA4003658	ERS1174768	ERX1492308	ERR1421698	ERA625422	Medicago truncatula	ILLUMINA	PAIRED	RNA-Seq	RANDOM	Illumina Genome Analyzer IIx paired end sequencing; Longitudinal and Diurnal Experiments of M. hapla and M. truncatula	E-MTAB-4724	E-MTAB-4724:Sample15_shoot_7_day_noinfection	E-MTAB-4724:Sample 37	192117043	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421698/121108_I7001139_FCD1FBHACXX_L5_GSL_0040.15_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/008/ERR1421698			ArrayExpress	Sample15_shoot_7_day_noinfection
ERP015760	SAMEA4003659	ERS1174769	ERX1492309	ERR1421699	ERA625422	Medicago truncatula	ILLUMINA	PAIRED	RNA-Seq	RANDOM	Illumina Genome Analyzer IIx paired end sequencing; Longitudinal and Diurnal Experiments of M. hapla and M. truncatula	E-MTAB-4724	E-MTAB-4724:Sample16_root_1_day_noinfection	E-MTAB-4724:Sample 38	579967965	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421699/121108_I7001139_FCD1FBHACXX_L5_GSL_0040.16_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/009/ERR1421699			ArrayExpress	Sample16_root_1_day_noinfection
ERP015760	SAMEA4003660	ERS1174770	ERX1492310	ERR1421700	ERA625422	Medicago truncatula	ILLUMINA	PAIRED	RNA-Seq	RANDOM	Illumina Genome Analyzer IIx paired end sequencing; Longitudinal and Diurnal Experiments of M. hapla and M. truncatula	E-MTAB-4724	E-MTAB-4724:Sample17_root_2_day_noinfection	E-MTAB-4724:Sample 39	486127704	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421700/121108_I7001139_FCD1FBHACXX_L5_GSL_0040.17_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/000/ERR1421700			ArrayExpress	Sample17_root_2_day_noinfection
ERP015760	SAMEA4003661	ERS1174771	ERX1492311	ERR1421702	ERA625422	Medicago truncatula	ILLUMINA	PAIRED	RNA-Seq	RANDOM	Illumina Genome Analyzer IIx paired end sequencing; Longitudinal and Diurnal Experiments of M. hapla and M. truncatula	E-MTAB-4724	E-MTAB-4724:Sample18_root_4_day_noinfection	E-MTAB-4724:Sample 40	470688957	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421702/121108_I7001139_FCD1FBHACXX_L5_GSL_0040.18_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/002/ERR1421702			ArrayExpress	Sample18_root_4_day_noinfection
ERP015760	SAMEA4003662	ERS1174772	ERX1492312	ERR1421703	ERA625422	Medicago truncatula	ILLUMINA	PAIRED	RNA-Seq	RANDOM	Illumina Genome Analyzer IIx paired end sequencing; Longitudinal and Diurnal Experiments of M. hapla and M. truncatula	E-MTAB-4724	E-MTAB-4724:Sample19_root_5_day_noinfection	E-MTAB-4724:Sample 41	781022117	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421703/121108_I7001139_FCD1FBHACXX_L5_GSL_0040.19_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/003/ERR1421703			ArrayExpress	Sample19_root_5_day_noinfection
ERP015760	SAMEA4003663	ERS1174773	ERX1492313	ERR1421704	ERA625422	Medicago truncatula	ILLUMINA	PAIRED	RNA-Seq	RANDOM	Illumina Genome Analyzer IIx paired end sequencing; Longitudinal and Diurnal Experiments of M. hapla and M. truncatula	E-MTAB-4724	E-MTAB-4724:Sample20_root_7_day_noinfection	E-MTAB-4724:Sample 42	505728911	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421704/121108_I7001139_FCD1FBHACXX_L5_GSL_0040.20_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/004/ERR1421704			ArrayExpress	Sample20_root_7_day_noinfection
ERP015760	SAMEA4003665	ERS1174775	ERX1492315	ERR1421718	ERA625422	Medicago truncatula	ILLUMINA	PAIRED	RNA-Seq	RANDOM	Illumina Genome Analyzer IIx paired end sequencing; Longitudinal and Diurnal Experiments of M. hapla and M. truncatula	E-MTAB-4724	E-MTAB-4724:Sample11_shoot_1_day_noinfection	E-MTAB-4724:Sample 55	472273233	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421718/121108_I7001139_FCD1FBHACXX_L6_GSL_0040.11_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/008/ERR1421718			ArrayExpress	Sample11_shoot_1_day_noinfection
ERP015760	SAMEA4003655	ERS1174765	ERX1492305	ERR1421719	ERA625422	Medicago truncatula	ILLUMINA	PAIRED	RNA-Seq	RANDOM	Illumina Genome Analyzer IIx paired end sequencing; Longitudinal and Diurnal Experiments of M. hapla and M. truncatula	E-MTAB-4724	E-MTAB-4724:Sample12_shoot_2_day_noinfection	E-MTAB-4724:Sample 56	491977406	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421719/121108_I7001139_FCD1FBHACXX_L6_GSL_0040.12_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/009/ERR1421719			ArrayExpress	Sample12_shoot_2_day_noinfection
ERP015760	SAMEA4003656	ERS1174766	ERX1492306	ERR1421720	ERA625422	Medicago truncatula	ILLUMINA	PAIRED	RNA-Seq	RANDOM	Illumina Genome Analyzer IIx paired end sequencing; Longitudinal and Diurnal Experiments of M. hapla and M. truncatula	E-MTAB-4724	E-MTAB-4724:Sample13_shoot_4_day_noinfection	E-MTAB-4724:Sample 57	466406125	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421720/121108_I7001139_FCD1FBHACXX_L6_GSL_0040.13_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/000/ERR1421720			ArrayExpress	Sample13_shoot_4_day_noinfection
ERP015760	SAMEA4003657	ERS1174767	ERX1492307	ERR1421721	ERA625422	Medicago truncatula	ILLUMINA	PAIRED	RNA-Seq	RANDOM	Illumina Genome Analyzer IIx paired end sequencing; Longitudinal and Diurnal Experiments of M. hapla and M. truncatula	E-MTAB-4724	E-MTAB-4724:Sample14_shoot_5_day_noinfection	E-MTAB-4724:Sample 58	468866919	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421721/121108_I7001139_FCD1FBHACXX_L6_GSL_0040.14_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/001/ERR1421721			ArrayExpress	Sample14_shoot_5_day_noinfection
ERP015760	SAMEA4003658	ERS1174768	ERX1492308	ERR1421722	ERA625422	Medicago truncatula	ILLUMINA	PAIRED	RNA-Seq	RANDOM	Illumina Genome Analyzer IIx paired end sequencing; Longitudinal and Diurnal Experiments of M. hapla and M. truncatula	E-MTAB-4724	E-MTAB-4724:Sample15_shoot_7_day_noinfection	E-MTAB-4724:Sample 59	183944710	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421722/121108_I7001139_FCD1FBHACXX_L6_GSL_0040.15_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/002/ERR1421722			ArrayExpress	Sample15_shoot_7_day_noinfection
ERP015760	SAMEA4003659	ERS1174769	ERX1492309	ERR1421724	ERA625422	Medicago truncatula	ILLUMINA	PAIRED	RNA-Seq	RANDOM	Illumina Genome Analyzer IIx paired end sequencing; Longitudinal and Diurnal Experiments of M. hapla and M. truncatula	E-MTAB-4724	E-MTAB-4724:Sample16_root_1_day_noinfection	E-MTAB-4724:Sample 60	555639368	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421724/121108_I7001139_FCD1FBHACXX_L6_GSL_0040.16_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/004/ERR1421724			ArrayExpress	Sample16_root_1_day_noinfection
ERP015760	SAMEA4003660	ERS1174770	ERX1492310	ERR1421725	ERA625422	Medicago truncatula	ILLUMINA	PAIRED	RNA-Seq	RANDOM	Illumina Genome Analyzer IIx paired end sequencing; Longitudinal and Diurnal Experiments of M. hapla and M. truncatula	E-MTAB-4724	E-MTAB-4724:Sample17_root_2_day_noinfection	E-MTAB-4724:Sample 61	469061714	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421725/121108_I7001139_FCD1FBHACXX_L6_GSL_0040.17_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/005/ERR1421725			ArrayExpress	Sample17_root_2_day_noinfection
ERP015760	SAMEA4003661	ERS1174771	ERX1492311	ERR1421726	ERA625422	Medicago truncatula	ILLUMINA	PAIRED	RNA-Seq	RANDOM	Illumina Genome Analyzer IIx paired end sequencing; Longitudinal and Diurnal Experiments of M. hapla and M. truncatula	E-MTAB-4724	E-MTAB-4724:Sample18_root_4_day_noinfection	E-MTAB-4724:Sample 62	457037399	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421726/121108_I7001139_FCD1FBHACXX_L6_GSL_0040.18_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/006/ERR1421726			ArrayExpress	Sample18_root_4_day_noinfection
ERP015760	SAMEA4003662	ERS1174772	ERX1492312	ERR1421727	ERA625422	Medicago truncatula	ILLUMINA	PAIRED	RNA-Seq	RANDOM	Illumina Genome Analyzer IIx paired end sequencing; Longitudinal and Diurnal Experiments of M. hapla and M. truncatula	E-MTAB-4724	E-MTAB-4724:Sample19_root_5_day_noinfection	E-MTAB-4724:Sample 63	746036106	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421727/121108_I7001139_FCD1FBHACXX_L6_GSL_0040.19_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/007/ERR1421727			ArrayExpress	Sample19_root_5_day_noinfection
ERP015760	SAMEA4003663	ERS1174773	ERX1492313	ERR1421728	ERA625422	Medicago truncatula	ILLUMINA	PAIRED	RNA-Seq	RANDOM	Illumina Genome Analyzer IIx paired end sequencing; Longitudinal and Diurnal Experiments of M. hapla and M. truncatula	E-MTAB-4724	E-MTAB-4724:Sample20_root_7_day_noinfection	E-MTAB-4724:Sample 64	483305561	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421728/121108_I7001139_FCD1FBHACXX_L6_GSL_0040.20_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/008/ERR1421728			ArrayExpress	Sample20_root_7_day_noinfection
ERP015760	SAMEA4003665	ERS1174775	ERX1492315	ERR1421742	ERA625422	Medicago truncatula	ILLUMINA	PAIRED	RNA-Seq	RANDOM	Illumina Genome Analyzer IIx paired end sequencing; Longitudinal and Diurnal Experiments of M. hapla and M. truncatula	E-MTAB-4724	E-MTAB-4724:Sample11_shoot_1_day_noinfection	E-MTAB-4724:Sample 77	502638332	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421742/121108_I7001139_FCD1FBHACXX_L7_GSL_0040.11_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/002/ERR1421742			ArrayExpress	Sample11_shoot_1_day_noinfection
ERP015760	SAMEA4003655	ERS1174765	ERX1492305	ERR1421743	ERA625422	Medicago truncatula	ILLUMINA	PAIRED	RNA-Seq	RANDOM	Illumina Genome Analyzer IIx paired end sequencing; Longitudinal and Diurnal Experiments of M. hapla and M. truncatula	E-MTAB-4724	E-MTAB-4724:Sample12_shoot_2_day_noinfection	E-MTAB-4724:Sample 78	515700491	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421743/121108_I7001139_FCD1FBHACXX_L7_GSL_0040.12_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/003/ERR1421743			ArrayExpress	Sample12_shoot_2_day_noinfection
ERP015760	SAMEA4003656	ERS1174766	ERX1492306	ERR1421744	ERA625422	Medicago truncatula	ILLUMINA	PAIRED	RNA-Seq	RANDOM	Illumina Genome Analyzer IIx paired end sequencing; Longitudinal and Diurnal Experiments of M. hapla and M. truncatula	E-MTAB-4724	E-MTAB-4724:Sample13_shoot_4_day_noinfection	E-MTAB-4724:Sample 79	494354845	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421744/121108_I7001139_FCD1FBHACXX_L7_GSL_0040.13_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/004/ERR1421744			ArrayExpress	Sample13_shoot_4_day_noinfection
